"state","decision","correct","count","winning_prob"
"722","3,2",7,15,0.47
"732","3,2",78,165,0.47
"733","3,2",88,168,0.52
"742","3,2",24,63,0.38
"743","3,2",380,1204,0.32
"752","3,2",41,80,0.51
"753","3,2",2627,5140,0.51
"333","3,3",67,109,0.61
"433","3,3",30,65,0.46
"443","3,3",163,201,0.81
"533","3,3",81,162,0.5
"543","3,3",103,220,0.47
"553","3,3",404,665,0.61
"633","3,3",2,9,0.22
"643","3,3",5,13,0.38
"653","3,3",255,481,0.53
"733","3,3",83,167,0.5
"743","3,3",100,308,0.32
"753","3,3",801,1611,0.5
